Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"543,115,008.87",4.92,"543,115,008.87","4,380,313.00",037833100,US0378331005,2046251,123.99,United States,NASDAQ,USD,1.00,USD,--
MSFT,MICROSOFT CORP,Information Technology,Equity,"477,261,187.02",4.32,"477,261,187.02","2,032,542.00",594918104,US5949181045,2588173,234.81,United States,NASDAQ,USD,1.00,USD,--
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"354,667,469.52",3.21,"354,667,469.52","115,089.00",023135106,US0231351067,2000019,"3,081.68",United States,NASDAQ,USD,1.00,USD,--
FB,FACEBOOK CLASS A INC,Communication,Equity,"178,418,478.75",1.62,"178,418,478.75","651,757.00",30303M102,US30303M1027,B7TL820,273.75,United States,NASDAQ,USD,1.00,USD,--
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"167,393,716.76",1.52,"167,393,716.76","81,479.00",02079K305,US02079K3059,BYVY8G0,"2,054.44",United States,NASDAQ,USD,1.00,USD,--
GOOG,ALPHABET INC CLASS C,Communication,Equity,"163,083,257.82",1.48,"163,083,257.82","78,918.00",02079K107,US02079K1079,BYY88Y7,"2,066.49",United States,NASDAQ,USD,1.00,USD,--
TSLA,TESLA INC,Consumer Discretionary,Equity,"145,296,897.66",1.32,"145,296,897.66","205,239.00",88160R101,US88160R1014,B616C79,707.94,United States,NASDAQ,USD,1.00,USD,--
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"130,001,574.51",1.18,"130,001,574.51","510,591.00",084670702,US0846707026,2073390,254.61,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
JPM,JPMORGAN CHASE & CO,Financials,Equity,"127,734,338.10",1.16,"127,734,338.10","822,130.00",46625H100,US46625H1005,2190385,155.37,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"114,815,962.82",1.04,"114,815,962.82","715,721.00",478160104,US4781601046,2475833,160.42,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
V,VISA INC CLASS A,Information Technology,Equity,"102,319,059.25",0.93,"102,319,059.25","458,275.00",92826C839,US92826C8394,B2PZN04,223.27,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
DIS,WALT DISNEY,Communication,Equity,"96,518,453.64",0.87,"96,518,453.64","490,539.00",254687106,US2546871060,2270726,196.76,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
MA,MASTERCARD INC CLASS A,Information Technology,Equity,"91,412,050.24",0.83,"91,412,050.24","239,449.00",57636Q104,US57636Q1040,B121557,381.76,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"90,673,256.88",0.82,"90,673,256.88","256,226.00",91324P102,US91324P1021,2917766,353.88,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"85,034,983.52",0.77,"85,034,983.52","661,442.00",742718109,US7427181091,2704407,128.56,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
NVDA,NVIDIA CORP,Information Technology,Equity,"84,544,304.20",0.77,"84,544,304.20","160,228.00",67066G104,US67066G1040,2379504,527.65,United States,NASDAQ,USD,1.00,USD,--
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"81,212,793.64",0.74,"81,212,793.64","291,566.00",437076102,US4370761029,2434209,278.54,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
PYPL,PAYPAL HOLDINGS INC,Information Technology,Equity,"79,681,125.00",0.72,"79,681,125.00","318,750.00",70450Y103,US70450Y1038,BYW36M8,249.98,United States,NASDAQ,USD,1.00,USD,--
BAC,BANK OF AMERICA CORP,Financials,Equity,"79,252,161.25",0.72,"79,252,161.25","2,099,395.00",060505104,US0605051046,2295677,37.75,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"71,032,270.07",0.64,"71,032,270.07","1,113,533.00",458140100,US4581401001,2463247,63.79,United States,NASDAQ,USD,1.00,USD,--
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"70,757,355.13",0.64,"70,757,355.13","1,229,921.00",20030N101,US20030N1019,2044545,57.53,United States,NASDAQ,USD,1.00,USD,--
XOM,EXXON MOBIL CORP,Energy,Equity,"69,371,563.14",0.63,"69,371,563.14","1,148,726.00",30231G102,US30231G1022,2326618,60.39,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"62,575,359.08",0.57,"62,575,359.08","1,124,647.00",92343V104,US92343V1044,2090571,55.64,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
NFLX,NETFLIX INC,Communication,Equity,"60,050,896.75",0.54,"60,050,896.75","115,427.00",64110L106,US64110L1061,2857817,520.25,United States,NASDAQ,USD,1.00,USD,--
ADBE,ADOBE INC,Information Technology,Equity,"58,439,588.35",0.53,"58,439,588.35","130,565.00",00724F101,US00724F1012,2008154,447.59,United States,NASDAQ,USD,1.00,USD,--
T,AT&T INC,Communication,Equity,"57,928,706.89",0.52,"57,928,706.89","1,935,473.00",00206R102,US00206R1023,2831811,29.93,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
CVX,CHEVRON CORP,Energy,Equity,"57,635,613.00",0.52,"57,635,613.00","522,772.00",166764100,US1667641005,2838555,110.25,United States,New York Stock Exchange Inc.,USD,1.00,USD,--
